Context_ID,Site_Context,Strategy_ID,Strategy,Short_Name,Plant_Powertrain,Description,Key_Risk,Data_Quality_Note,Working_Days,Shift_Hours,Idle_Percent,Grid_Availability,Max_Grid_Power_kW,Uses_Electric_Plant,Uses_BESS,Uses_Smart_Charging,Diesel_Backup_Enabled,Active_Hours_per_day,Idle_Hours_per_day,Plant_Energy_Demand_kWh_per_day,Temporary_Power_Demand_kWh_per_day,Usable_Machine_Battery_kWh,Machine_Battery_Supply_kWh_per_day,Planned_Charge_Energy_kWh_per_day,Planned_Charge_Supply_kWh_per_day,Additional_Charging_Supply_kWh_per_day,BESS_to_Plant_kWh_per_day,BESS_to_Temporary_kWh_per_day,BESS_Energy_Used_kWh_per_day,Direct_Grid_Temporary_kWh_per_day,Backup_to_Plant_kWh_per_day,Backup_to_Temporary_kWh_per_day,Plant_Energy_Unserved_kWh_per_day,Temporary_Energy_Unserved_kWh_per_day,Effective_Charger_Power_kW,Available_Offshift_Hours,Grid_Electricity_kWh,Backup_Diesel_L,Plant_Diesel_L,Plant_Diesel_L_per_day,Temporary_Power_Diesel_L,Temporary_Power_Diesel_L_per_day,Calculated_Downtime_h_per_day,Required_Overnight_Recharge_h,Battery_Equivalent_Cycles_per_day,Energy_Unserved_kWh_per_day,Backup_Energy_Share,Operational_CO2e_kg,Expanded_Energy_CO2e_kg,Energy_Cost_GBP,Hire_and_Power_Cost_GBP,Total_Cost_GBP,Productivity_Index,Exhaust_NOx_Index,Exhaust_PM_Index,Noise_Index,Air_Quality_Benefit_Index,Noise_Benefit_Index,Operational_Reduction_vs_Baseline,Expanded_Reduction_vs_Baseline,Cost_Difference_vs_Baseline_GBP,Routine_Recharge_Valid,Carbon_Result_Valid,Carbon_Comparison_Status,Carbon_Validity_Note,Operational_Carbon_Performance,Expanded_Carbon_Performance,Energy_Supply_Status,Energy_Supply_Note,Local_Environmental_Performance,Local_Environmental_Note,Site_Compatibility,Site_Compatibility_Note,Delivery_Risk,Delivery_Risk_Note,Key_Implementation_Condition
C1,Urban site near a school,S1,Conventional diesel plant + diesel generator,Conventional diesel,Diesel,"Diesel plant, normal idling and a diesel generator for temporary power.",High carbon and local exhaust emissions.,Teaching assumptions with official carbon factors,30.0,7.0,0.2,Available,22.0,False,False,False,False,5.6000000000000005,1.4000000000000001,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.6400000000001,19.488000000000003,180.0,6.0,0.0,0.0,0.0,0.0,0.0,1975.4780256000004,2442.6807120000008,1185.1920000000002,7200.0,8385.192000000001,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Baseline / high carbon,Baseline / high carbon,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Poor local environmental performance,"Relative teaching indices: NOx 100, PM 100, noise 100; lower values indicate lower point-of-use impact.",Poor site fit,High community or noise sensitivity conflicts with the strategy's local exhaust or noise profile.,Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.","Manage fuel supply, idling, exhaust and noise throughout the programme."
C1,Urban site near a school,S2,Efficient diesel transition,Efficient diesel,Efficient diesel,"Reduced idling, efficient diesel plant and a correctly sized generator.",Still depends on diesel and good site management.,Teaching assumptions with official carbon factors,30.0,7.0,0.2,Available,22.0,False,False,False,False,5.6000000000000005,1.4000000000000001,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.22,15.974,144.0,4.8,0.0,0.0,0.0,0.0,0.0,1610.1137988000003,1990.9074510000003,965.9910000000001,7650.0,8615.991,100.0,35.0,25.0,95.0,70.0,5.0,0.1849497802887633,0.18494978028876352,230.79899999999907,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Limited carbon reduction,Limited carbon reduction,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Moderate local environmental performance,"Relative teaching indices: NOx 35, PM 25, noise 95; lower values indicate lower point-of-use impact.",Site fit with conditions,"Community, exhaust or noise controls would be required for this sensitive site.",Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.",Enforce anti-idling controls and correctly size and maintain the generator.
C1,Urban site near a school,S3,Grid-connected electric plant,Grid electric,Battery electric,"Electric plant charged from the grid, with grid electricity used for temporary site power where available.",Battery runtime and grid capacity may interrupt the programme.,Manufacturer-informed energy use with teaching cost assumptions,30.0,7.0,0.2,Available,22.0,True,False,False,False,5.6000000000000005,1.4000000000000001,18.881100000000004,20.0,18.0,18.0,9.9,0.8811000000000035,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,11.0,17.0,1229.37,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,1.0489500000000003,0.0,0.0,160.99829519999997,222.23321489999995,307.3425,8700.0,9007.3425,97.0,0.0,0.0,55.0,100.0,45.0,0.9185016015801538,0.9090207681223956,622.1504999999997,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Very substantial carbon reduction,Very substantial carbon reduction,All demand supplied,All electric-plant and temporary site-power demand is supplied under the selected assumptions.,Strong local environmental performance,"Relative teaching indices: NOx 0, PM 0, noise 55; lower values indicate lower point-of-use impact.",Good site fit,The strategy is compatible with the selected site's local constraints and infrastructure assumptions.,Moderate delivery risk,The plant requires about 1.0 battery-equivalent cycles per day.,Provide reliable off-shift charging for about 0.9 hours between working days.
C1,Urban site near a school,S4,Electric plant + battery storage + smart charging,Electric + smart power,Battery electric + BESS,"Electric plant, battery storage, planned charging and lower-carbon charging periods.","Battery availability, recharge time and site logistics must be checked.",Manufacturer-informed energy use with teaching smart-charging assumptions,30.0,7.0,0.2,Available,22.0,True,True,True,False,5.6000000000000005,1.4000000000000001,18.881100000000004,20.0,18.0,18.0,9.9,0.8811000000000035,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,11.0,17.0,1270.2790909090909,0.0,0.0,0.0,0.0,0.0,0.0,1.4256198347107438,1.0489500000000003,0.0,0.0,131.4210422989091,194.6936438170909,317.5697727272727,10200.0,10517.569772727273,99.0,0.0,0.0,50.0,100.0,50.0,0.9334738019882588,0.9202950910200289,2132.377772727272,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Very substantial carbon reduction,Very substantial carbon reduction,All demand supplied,All electric-plant and temporary site-power demand is supplied under the selected assumptions.,Strong local environmental performance,"Relative teaching indices: NOx 0, PM 0, noise 50; lower values indicate lower point-of-use impact.",Good site fit,The strategy is compatible with the selected site's local constraints and infrastructure assumptions.,Moderate delivery risk,The plant requires about 1.0 battery-equivalent cycles per day.,Provide reliable off-shift charging for about 1.4 hours between working days.
C2,Remote infrastructure site,S1,Conventional diesel plant + diesel generator,Conventional diesel,Diesel,"Diesel plant, normal idling and a diesel generator for temporary power.",High carbon and local exhaust emissions.,Teaching assumptions with official carbon factors,45.0,8.0,0.15,Limited,7.0,False,False,False,True,6.8,1.2,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1039.68,23.104000000000003,337.5,7.5,0.0,0.0,0.0,0.0,0.0,3557.9996172000006,4399.470369000001,2134.6290000000004,10800.0,12934.629,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Baseline / high carbon,Baseline / high carbon,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Poor local environmental performance,"Relative teaching indices: NOx 100, PM 100, noise 100; lower values indicate lower point-of-use impact.",Good site fit,The strategy is compatible with the selected site's local constraints and infrastructure assumptions.,Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.","Manage fuel supply, idling, exhaust and noise throughout the programme."
C2,Remote infrastructure site,S2,Efficient diesel transition,Efficient diesel,Efficient diesel,"Reduced idling, efficient diesel plant and a correctly sized generator.",Still depends on diesel and good site management.,Teaching assumptions with official carbon factors,45.0,8.0,0.15,Limited,7.0,False,False,False,True,6.8,1.2,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.1399999999999,19.291999999999998,270.0,6.0,0.0,0.0,0.0,0.0,0.0,2940.4302156,3635.8451370000002,1764.117,11475.0,13239.117,100.0,35.0,25.0,95.0,70.0,5.0,0.1735720820807739,0.1735720820807738,304.4879999999994,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Limited carbon reduction,Limited carbon reduction,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Moderate local environmental performance,"Relative teaching indices: NOx 35, PM 25, noise 95; lower values indicate lower point-of-use impact.",Good site fit,The strategy is compatible with the selected site's local constraints and infrastructure assumptions.,Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.",Enforce anti-idling controls and correctly size and maintain the generator.
C2,Remote infrastructure site,S3,Grid-connected electric plant,Grid electric,Battery electric,"Electric plant charged from the grid, with grid electricity used for temporary site power where available.",Battery runtime and grid capacity may interrupt the programme.,Manufacturer-informed energy use with teaching cost assumptions,45.0,8.0,0.15,Limited,7.0,True,False,False,True,6.8,1.2,22.843799999999998,25.0,18.0,18.0,2.6578125,2.6578125,0.0,0.0,0.0,0.0,8.75,2.185987499999998,16.25,0.0,0.0,5.90625,0.0,1426.6406249999998,201.73184999999998,0.0,0.0,0.0,0.0,0.0,2.857142857142857,1.2691,0.0,0.38533702381499796,708.0151599989999,902.33630719875,740.6765549999999,13050.0,13790.676555,97.0,0.0,0.0,55.0,100.0,45.0,0.8010075221547722,0.7948988783838881,856.0475549999992,False,False,Incomplete – recharge cycle unresolved,"Incomplete carbon result: daily demand is supplied, but the batteries cannot be reliably restored for repeated daily operation under the selected charging assumptions.",Incomplete carbon result,Incomplete carbon result,Daily demand supplied; recharge cycle incomplete,"The working-day demand can be supplied, but the batteries cannot be reliably restored for repeated daily operation under the selected off-shift charging assumptions.",Strong local environmental performance,"Relative teaching indices: NOx 0, PM 0, noise 55; lower values indicate lower point-of-use impact.",Site fit with conditions,The limited grid connection requires charging and power-management controls.,High delivery risk,"Diesel backup supplies about 39% of daily site energy. Repeated daily operation needs off-shift recharging, but overnight charging is unavailable. The limited grid connection requires careful scheduling. The plant requires about 1.3 battery-equivalent cycles per day.","Confirm backup-generator capacity, fuel logistics and the additional carbon before implementation."
C2,Remote infrastructure site,S4,Electric plant + battery storage + smart charging,Electric + smart power,Battery electric + BESS,"Electric plant, battery storage, planned charging and lower-carbon charging periods.","Battery availability, recharge time and site logistics must be checked.",Manufacturer-informed energy use with teaching smart-charging assumptions,45.0,8.0,0.15,Limited,7.0,True,True,True,True,6.8,1.2,22.843799999999998,25.0,18.0,18.0,2.90390625,2.90390625,0.0,1.9398937499999982,20.625,22.56489375,4.375,0.0,0.0,0.0,0.0,6.453125,0.0,2395.956924715909,0.0,0.0,0.0,0.0,0.0,0.0,6.520274959415585,1.2691,0.0,0.0,313.7745188607954,433.1171332808948,718.7870774147726,15300.0,16018.787077414772,99.0,0.0,0.0,50.0,100.0,50.0,0.9118115366443679,0.9015524376905072,3084.1580774147715,False,False,Incomplete – recharge cycle unresolved,"Incomplete carbon result: daily demand is supplied, but the batteries cannot be reliably restored for repeated daily operation under the selected charging assumptions.",Incomplete carbon result,Incomplete carbon result,Daily demand supplied; recharge cycle incomplete,"The working-day demand can be supplied, but the batteries cannot be reliably restored for repeated daily operation under the selected off-shift charging assumptions.",Strong local environmental performance,"Relative teaching indices: NOx 0, PM 0, noise 50; lower values indicate lower point-of-use impact.",Site fit with conditions,The limited grid connection requires charging and power-management controls. Smart charging is selected but lower-carbon charging periods are not available.,High delivery risk,"Repeated daily operation needs off-shift recharging, but overnight charging is unavailable. The limited grid connection requires careful scheduling. The plant requires about 1.3 battery-equivalent cycles per day.",Verify the grid limit and coordinate plant charging with temporary site-power demand.
C3,City-centre noise-restricted site,S1,Conventional diesel plant + diesel generator,Conventional diesel,Diesel,"Diesel plant, normal idling and a diesel generator for temporary power.",High carbon and local exhaust emissions.,Teaching assumptions with official carbon factors,25.0,6.0,0.15,Available,43.0,False,False,False,False,5.1,0.8999999999999999,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.2,17.328,135.0,5.3999999999999995,0.0,0.0,0.0,0.0,0.0,1467.967428,1815.14331,880.7099999999999,6000.0,6880.71,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Baseline / high carbon,Baseline / high carbon,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Poor local environmental performance,"Relative teaching indices: NOx 100, PM 100, noise 100; lower values indicate lower point-of-use impact.",Poor site fit,High community or noise sensitivity conflicts with the strategy's local exhaust or noise profile.,Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.","Manage fuel supply, idling, exhaust and noise throughout the programme."
C3,City-centre noise-restricted site,S2,Efficient diesel transition,Efficient diesel,Efficient diesel,"Reduced idling, efficient diesel plant and a correctly sized generator.",Still depends on diesel and good site management.,Teaching assumptions with official carbon factors,25.0,6.0,0.15,Available,43.0,False,False,False,False,5.1,0.8999999999999999,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.72499999999997,14.468999999999998,108.0,4.32,0.0,0.0,0.0,0.0,0.0,1213.5533265,1500.5599987500002,728.07375,6375.0,7103.07375,100.0,35.0,25.0,95.0,70.0,5.0,0.17331045406546997,0.17331045406546974,222.36374999999953,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Limited carbon reduction,Limited carbon reduction,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Moderate local environmental performance,"Relative teaching indices: NOx 35, PM 25, noise 95; lower values indicate lower point-of-use impact.",Site fit with conditions,"Community, exhaust or noise controls would be required for this sensitive site.",Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.",Enforce anti-idling controls and correctly size and maintain the generator.
